,Reg1Src,Reg2Src,SignExtend,ALUData2Src,ALUop,ALUToReg,MemDataSrc,MemToReg,MemOp,RegWrite,WriteRegDst,isJump,JumpAddr
ADD,rs,rt,,reg2,ALU_ADD_OP,1,,,,1,rd,,
ADDI,rs,,16S,imm,ALU_ADD_OP,1,,,,1,rt,,
SUB,rs,rt,,reg2,ALU_SUB_OP,1,,,,1,rd,,
LUI,,,16US,imm,ALU_DATA2_OP,1,,,,1,rt,,
AND,rs,rt,,reg2,ALU_AND_OP,1,,,,1,rd,,
ANDI,rs,,16U,imm,ALU_AND_OP,1,,,,1,rt,,
OR,rs,rt,,reg2,ALU_OR_OP,1,,,,1,rd,,
ORI,rs,,16U,imm,ALU_OR_OP,1,,,,1,rt,,
XOR,rs,rt,,reg2,ALU_XOR_OP,1,,,,1,rd,,
XORI,rs,,16U,imm,ALU_XOR_OP,1,,,,1,rt,,
NOR,rs,rt,,reg2,ALU_NOR_OP,1,,,,1,rd,,
SLL,rs,,5U,imm,ALU_SLL_OP,1,,,,1,rd,,
SRL,rs,,5U,imm,ALU_SRL_OP,1,,,,1,rd,,
SRA,rs,,5U,imm,ALU_SRA_OP,1,,,,1,rd,,
LW,rs,,16S,imm,ALU_ADD_OP,,,1,MEM_LOAD_WORD,1,rt,,
LH,rs,,16S,imm,ALU_ADD_OP,,,1,MEM_LOAD_HALF,1,rt,,
LB,rs,,16S,imm,ALU_ADD_OP,,,1,MEM_LOAD_BYTE,1,rt,,
SW,rs,rt,16S,imm,ALU_ADD_OP,,reg2,,MEM_SAVE_WORD,,,,
SH,rs,rt,16S,imm,ALU_ADD_OP,,reg2,,MEM_SAVE_HALF,,,,
SB,rs,rt,16S,imm,ALU_ADD_OP,,reg2,,MEM_SAVE_BYTE,,,,
BEQ,rs,rt,16S,,ALU_NOP_OP,,,,,,,1,B==
BNE,rs,rt,16S,,ALU_NOP_OP,,,,,,,1,B!=
BLT,rs,rt,16S,,ALU_NOP_OP,,,,,,,1,B<
BLE,rs,rt,16S,,ALU_NOP_OP,,,,,,,1,B<=
J,,,26U,,ALU_NOP_OP,,,,,,,1,J
JAL,,,26U,PC,ALU_JAL_OP,1,,,,1,r31,1,J
JR,rs,,,,ALU_NOP_OP,,,,,,,1,JR
